StationID	Date	Hour	Observation	GSM0p50	GFS	IFS
48327	20170706	12	0	14.2	0.5	11.1
48327	20170708	12	0	20.1	0.3	7.9
48327	20170709	12	0.7	24.2	2.4	13.6
48327	20170710	12	7.2	14.7	2.9	9.9
48327	20170711	12	7.3	38.7	2.9	19.9
48327	20170712	12	0.4	10.8	9.2	26.2
48327	20170713	12	1.6	12	3.8	35.8
48327	20170714	12	0	15.4	0.4	15.6
48327	20170715	12	0.4	17.5	5.4	10.6
48327	20170716	12	0	33.2	4.1	23.1
48327	20170721	12	4.4	13.5	2.3	6
48327	20170722	12	4.7	45.8	32.5	20.7
48327	20170724	12	0.3	9.9	2.5	4.8
48327	20170725	12	0.2	29.3	10.7	11.3
48327	20170726	12	25.8	24.2	8.9	22.8
48327	20170727	12	3	46.7	55.6	31.2
48327	20170728	12	0	20.6	2.8	14
48327	20170729	12	0	9.1	0.8	10
48327	20170730	12	0	9.2	0	6.6
48327	20170731	12	0	17.3	0	5.1
48327	20170801	12	0	7.2	0	6.1
48327	20170802	12	0	2.2	0	1.2
48327	20170803	12	0	12	0.9	5.4
48327	20170804	12	0	33.4	11.2	9.9
48327	20170805	12	0	22.7	17.2	15.5
48327	20170806	12	2	12	0.1	34.2
48327	20170807	12	40	17	7.7	18
48327	20170808	12	2	26	0	2.9
48327	20170809	12	0.2	14.6	0.1	0.9
48327	20170810	12	0.8	15.8	1.5	1
48327	20170811	12	0.4	16.7	0	1.6
48327	20170812	12	0	20.4	0	0.4
48327	20170813	12	0	15.7	0	1.2
48327	20170814	12	0	14.2	0	1.7
48327	20170815	12	18	19.6	0	13.6
48327	20170816	12	24	28.3	0.2	13.1
48327	20170817	12	0	2.5	1.2	7.5
48327	20170818	12	6	11.4	6	10.5
48327	20170819	12	10	2	0.5	1.9
48327	20170820	12	20.8	8.1	8.3	9.1
48327	20170821	12	8.2	4.2	5.8	3.6
48327	20170822	12	0	2	14.4	2.5
48327	20170824	12	4	0.3	0	0.8
48327	20170825	12	22	28.4	1.4	1.6
48327	20170826	12	8	7.5	7.8	6.9
48327	20170827	12	11	14.7	14.9	11.2
48327	20170828	12	0	11.7	0.4	15.7
48327	20170829	12	0.1	9.8	6.5	3.7
48327	20170830	12	9.9	30.5	5.5	12.4
48327	20170831	12	0	15.5	4.1	17
48327	20170901	12	26	22.9	0	25.4
48327	20170902	12	0	6.7	0	14.4
48327	20170903	12	0	3.7	0	2.6
48327	20170904	12	0	4	0	10.8
48327	20170905	12	8.2	15.1	0	5
48327	20170906	12	13.3	18.7	0	18.4
48327	20170907	12	38	10.6	0.6	16.6
48327	20170908	12	4	26.8	0	22
48327	20170909	12	0.3	49	0	11.3
48327	20170910	12	0.4	30.7	0	9.2
48327	20170911	12	0.2	33.1	0	7.3
48327	20170912	12	0	27.4	0	6.9
48327	20170913	12	14	3.6	0	12.6
48327	20170914	12	0	5.2	0	1.3
48327	20170915	12	0	8	0	5.3
48327	20170916	12	11.6	9.5	2	10.6
48327	20170917	12	9.8	41.5	10	19.3
48327	20170918	12	10.2	3.5	0.1	1.8
48327	20170919	12	0	1.5	0.2	0.9
48327	20170920	12	0	1	0	2.2
48327	20170921	12	0	0.5	0	4
48327	20170922	12	0	8.4	0	6.3
48327	20170923	12	0	7.9	0	3.5
48327	20170925	12	0	6	0	5.2
48327	20170926	12	4.2	12	0	16.6
48327	20171001	12	0	8.2	0	3.9
