StationID	Date	Hour	Observation	GSM0p50	GFS	IFS
48327	2017070312	12	0.6	20.2	4.3	3.5
48327	2017070412	12	0.6	31.2	6.2	8
48327	2017070512	12	0.7	24.7	7.1	5.4
48327	2017070612	12	0	5.9	0.6	9.5
48327	2017070812	12	0	28.4	0	8
48327	2017070912	12	0.7	24.2	0	5.3
48327	2017071212	12	0.4	30.2	1.8	17.5
48327	2017071412	12	0	16.4	1.1	16.8
48327	2017071512	12	0.4	16.9	0.1	10.5
48327	2017071612	12	0	8.4	6.2	8.4
48327	2017071712	12	20	24.8	0.9	3.7
48327	2017072012	12	0.4	25.6	1.9	3
48327	2017072112	12	4.4	32.7	2.2	16.6
48327	2017072412	12	0.3	15.1	0.1	17.9
48327	2017072512	12	0.2	14.3	0	6.9
48327	2017072712	12	3	10.3	0	5.1
48327	2017072812	12	0	0.9	0	7
48327	2017072912	12	0	6.7	2.1	8.4
48327	2017073012	12	0	0.5	0	4.1
48327	2017073112	12	0	10	0	3
48327	2017080112	12	0	13.1	0	0.5
48327	2017080212	12	0	19.3	0	4.3
48327	2017080312	12	0	20.9	0	3.3
48327	2017080412	12	0	37.1	1.6	11.1
48327	2017080512	12	0	37.2	3.5	13.4
48327	2017080812	12	2	21.6	1.1	6
48327	2017080912	12	0.2	19.7	0.3	1.9
48327	2017081012	12	0.8	15.5	0	1.3
48327	2017081112	12	0.4	17.9	0	3
48327	2017081212	12	0	17.1	0	2.4
48327	2017081312	12	0	6.6	0	2
48327	2017081412	12	0	11.1	0	1.9
48327	2017081512	12	18	31	0.3	5.6
48327	2017081612	12	24	38.2	7.7	11.3
48327	2017081712	12	0	12.4	1.8	23.5
48327	2017081812	12	6	0.1	2.1	4.2
48327	2017081912	12	10	3.7	0	3.8
48327	2017082212	12	0	2	0	4.8
48327	2017082312	12	0	2	0	0.9
48327	2017082412	12	4	0.7	0	2.2
48327	2017082512	12	22	42.3	5.8	7.1
48327	2017082612	12	8	18.2	3.8	8.9
48327	2017082712	12	11	14.8	0	14.3
48327	2017082812	12	0	5.2	0	7
48327	2017082912	12	0.1	3.3	0	13.4
48327	2017090112	12	26	16.8	0.2	13.7
48327	2017090212	12	0	9	0	5.6
48327	2017090312	12	0	13.7	0	0.7
48327	2017090412	12	0	7.7	0	2.4
48327	2017090712	12	38	24.5	2.7	36.1
48327	2017090912	12	0.3	23.3	0	10.8
48327	2017091012	12	0.4	10.5	2.4	3.1
48327	2017091112	12	0.2	3.1	0	15.6
48327	2017091212	12	0	5.3	0	13.8
48327	2017091312	12	14	3.8	0	6
48327	2017091412	12	0	0.7	0	4.2
48327	2017091512	12	0	3.5	0	11.9
48327	2017091912	12	0	1.9	0	3.8
48327	2017092012	12	0	0	0	0.6
48327	2017092112	12	0	0.2	0	8.2
48327	2017092212	12	0	4.1	0	12.3
48327	2017092312	12	0	7.6	0	6.9
48327	2017092712	12	3	8.1	0	4.3
48327	2017092812	12	0	3.1	0	3.1
48327	2017092912	12	3.1	2.4	0	10.5
48327	2017100112	12	0	10	0	7.2
48327	2017100212	12	0	7	0	5.7
48327	2017100312	12	13	9.9	0	8.4
48327	2017100712	12	0	9.5	0.6	4.6
48327	2017100812	12	2.6	20.2	5	5.2
