StationID	Date	Hour	Observation	GSM0p50	GFS	IFS
48327	20170702	12	3	21.5	1	1
48327	20170703	12	0.6	15.4	1.9	10.1
48327	20170708	12	0	10.1	0	11.2
48327	20170709	12	0.7	25.7	0.2	15.1
48327	20170720	12	0.4	16.6	2.5	2.7
48327	20170730	12	0	3.2	0	1.9
48327	20170731	12	0	13.2	0	2.1
48327	20170801	12	0	16.8	0	0.9
48327	20170804	12	0	33.6	0.1	7.3
48327	20170809	12	0.2	9.4	0	2.4
48327	20170810	12	0.8	13.3	0	3.8
48327	20170811	12	0.4	14.3	0	5.6
48327	20170812	12	0	7.9	0	1.4
48327	20170813	12	0	7.2	0	0.5
48327	20170814	12	0	3.6	0	4.5
48327	20170819	12	10	6.1	0	10.3
48327	20170822	12	0	4.6	0	3.8
48327	20170823	12	0	2.3	0	2
48327	20170824	12	4	4.2	0.6	5.1
48327	20170826	12	8	11.2	0.1	14.2
48327	20170827	12	11	21.8	0.4	4.3
48327	20170828	12	0	1.3	0	7.2
48327	20170829	12	0.1	0.7	0	10.7
48327	20170831	12	0	10.2	3.7	15.7
48327	20170902	12	0	17.5	0	3.6
48327	20170903	12	0	4.1	0	3.7
48327	20170904	12	0	4.9	0	9.2
48327	20170909	12	0.3	14.7	0	10.6
48327	20170910	12	0.4	7.5	0	1.4
48327	20170911	12	0.2	5.3	0	4.3
48327	20170913	12	14	0.4	0	2.8
48327	20170915	12	0	3.7	0	5.6
48327	20170919	12	0	0	0	0.5
48327	20170920	12	0	0	0	0
48327	20170927	12	3	5.5	0	1.9
48327	20170928	12	0	0.4	0.1	2.6
48327	20171001	12	0	4	0	4.7
48327	20171002	12	0	7.7	0	3.1
48327	20171007	12	0	7.9	0	7.4
48327	20171013	12	0	6.9	0	3.7
48327	20171014	12	0	0.9	0	2.9
48327	20171019	12	0	2.5	0	2.9
48327	20171020	12	23	2.8	0	7.4
48327	20171021	12	0	1	0	0.4
48327	20171022	12	0	1	0.3	6.8
48327	20171023	12	0	9.5	0	6.4
