STATION_ID,TIME,WSP_OBS,HOUR_FCST,ECM_IS,HARMONIE,HIRLAM5
5544,01/09/2014 03:00,7.9,9,,12.3,10.0
5544,01/09/2014 09:00,13.8,9,8.2,13.9,9.8
5544,01/09/2014 15:00,11.1,9,,13.8,10.6
5544,01/09/2014 21:00,11.9,9,7.3,12.5,8.6
5544,02/09/2014 03:00,11.2,9,,12.9,10.0
5544,02/09/2014 09:00,6.1,9,6.6,10.8,7.7
5544,02/09/2014 15:00,7.8,9,,7.8,5.9
5544,02/09/2014 21:00,0.4,9,2.1,1.0,1.0
5544,03/09/2014 03:00,3.7,9,,0.9,2.7
5544,03/09/2014 09:00,0.7,9,2.8,3.6,2.8
5544,03/09/2014 15:00,5.3,9,,10.1,7.8
5544,03/09/2014 21:00,0.8,9,1.8,5.1,2.6
5544,04/09/2014 03:00,2.0,9,,0.8,0.4
5544,04/09/2014 09:00,2.0,9,3.5,6.3,4.5
5544,04/09/2014 15:00,6.0,9,,7.8,4.1
5544,04/09/2014 21:00,3.8,9,2.4,4.0,2.1
5544,05/09/2014 03:00,3.7,9,,0.7,1.7
5544,05/09/2014 09:00,1.7,9,0.2,2.3,0.7
5544,05/09/2014 15:00,2.9,9,,2.1,2.2
5544,05/09/2014 21:00,0.2,9,0.4,1.6,0.9
5544,06/09/2014 03:00,2.1,9,,1.6,0.4
5544,06/09/2014 09:00,1.1,9,0.6,1.2,0.6
5544,06/09/2014 15:00,2.5,9,,1.6,1.7
5544,06/09/2014 21:00,3.1,9,0.4,2.1,1.1
5544,07/09/2014 03:00,2.7,9,,1.2,0.7
5544,07/09/2014 09:00,0.9,9,1.1,0.8,1.2
5544,07/09/2014 15:00,4.2,9,,0.5,1.9
5544,07/09/2014 21:00,1.1,9,3.6,4.9,3.5
5544,08/09/2014 03:00,2.2,9,,4.0,5.4
5544,08/09/2014 09:00,1.4,9,0.7,1.9,3.1
5544,08/09/2014 15:00,5.7,9,,8.3,7.3
5544,08/09/2014 21:00,4.4,9,4.1,2.6,3.8
5544,09/09/2014 03:00,6.0,9,,2.9,3.5
