STATION_ID,TIME,WSP_OBS,HOUR_FCST,ECM_IS,HARMONIE,HIRLAM5
5544,01/09/2014 03:00,7.9,39,8.2,8.9,11.0
5544,01/09/2014 09:00,13.8,39,,13.7,12.5
5544,01/09/2014 15:00,11.1,39,10.0,14.1,12.5
5544,01/09/2014 21:00,11.9,39,,14.0,11.7
5544,02/09/2014 03:00,11.2,39,4.2,9.4,10.9
5544,02/09/2014 09:00,6.1,39,,12.4,7.9
5544,02/09/2014 15:00,7.8,39,4.9,9.2,7.8
5544,02/09/2014 21:00,0.4,39,,0.9,1.1
5544,03/09/2014 03:00,3.7,39,6.2,10.7,7.0
5544,03/09/2014 09:00,0.7,39,,6.5,6.3
5544,03/09/2014 15:00,5.3,39,6.2,10.7,5.9
5544,03/09/2014 21:00,0.8,39,,3.0,2.7
5544,04/09/2014 03:00,2.0,39,0.8,2.0,0.2
5544,04/09/2014 09:00,2.0,39,,4.6,5.5
5544,04/09/2014 15:00,6.0,39,3.7,7.6,5.0
5544,04/09/2014 21:00,3.8,39,,1.3,2.8
5544,05/09/2014 03:00,3.7,39,1.5,1.7,1.7
5544,05/09/2014 09:00,1.7,39,,0.9,1.0
5544,05/09/2014 15:00,2.9,39,2.2,1.4,2.2
5544,05/09/2014 21:00,0.2,39,,1.5,0.4
5544,06/09/2014 03:00,2.1,39,0.3,0.5,1.6
5544,06/09/2014 09:00,1.1,39,,1.2,0.2
5544,06/09/2014 15:00,2.5,39,2.5,1.9,1.9
5544,06/09/2014 21:00,3.1,39,,0.3,1.1
5544,07/09/2014 03:00,2.7,39,1.2,1.1,0.6
5544,07/09/2014 09:00,0.9,39,,1.9,0.1
5544,07/09/2014 15:00,4.2,39,3.4,1.5,1.3
5544,07/09/2014 21:00,1.1,39,,3.2,0.7
5544,08/09/2014 03:00,2.2,39,2.4,0.8,0.4
5544,08/09/2014 09:00,1.4,39,,1.2,2.5
5544,08/09/2014 15:00,5.7,39,4.6,3.8,5.0
5544,08/09/2014 21:00,4.4,39,,6.8,5.7
5544,09/09/2014 03:00,6.0,39,5.8,7.9,5.2
5544,09/09/2014 09:00,4.6,39,,5.3,4.0
5544,09/09/2014 15:00,8.1,39,8.2,9.7,9.9
5544,09/09/2014 21:00,10.1,39,,11.6,8.6
5544,10/09/2014 03:00,2.8,39,4.8,5.0,3.7
5544,10/09/2014 09:00,4.8,39,,0.4,1.6
5544,10/09/2014 15:00,3.3,39,6.9,10.5,10.3
5544,10/09/2014 21:00,8.3,39,,7.2,6.9
5544,11/09/2014 03:00,2.3,39,1.9,1.6,3.5
5544,11/09/2014 09:00,2.5,39,,0.9,4.4
5544,11/09/2014 15:00,12.4,39,6.3,11.1,8.8
5544,11/09/2014 21:00,10.4,39,,13.4,9.8
5544,12/09/2014 03:00,4.2,39,7.9,10.1,8.6
5544,12/09/2014 09:00,4.4,39,,8.0,7.0
5544,12/09/2014 15:00,10.3,39,10.3,10.9,8.8
5544,12/09/2014 21:00,2.1,39,,7.5,8.8
5544,13/09/2014 03:00,0.5,39,3.9,7.8,8.3
5544,13/09/2014 09:00,1.9,39,,6.6,7.2
5544,13/09/2014 15:00,1.8,39,2.5,1.3,2.9
5544,13/09/2014 21:00,2.3,39,,6.3,3.3
5544,14/09/2014 03:00,1.8,39,3.0,4.3,3.1
5544,14/09/2014 09:00,3.7,39,,2.9,1.4
5544,14/09/2014 15:00,1.0,39,0.6,1.8,0.5
5544,14/09/2014 21:00,3.7,39,,5.8,4.2
5544,15/09/2014 03:00,3.9,39,4.3,5.1,3.8
5544,15/09/2014 09:00,5.4,39,,3.6,4.9
5544,15/09/2014 15:00,4.9,39,6.4,7.8,7.2
5544,15/09/2014 21:00,6.0,39,,8.1,3.3
5544,16/09/2014 03:00,3.0,39,0.9,2.1,2.2
5544,16/09/2014 09:00,1.1,39,,1.2,2.2
5544,16/09/2014 15:00,3.5,39,2.0,2.0,1.5
5544,16/09/2014 21:00,4.5,39,,1.1,0.9
5544,17/09/2014 03:00,1.9,39,2.6,1.3,4.3
5544,17/09/2014 09:00,2.9,39,,1.5,5.7
5544,17/09/2014 15:00,2.0,39,3.9,2.2,4.3
5544,17/09/2014 21:00,0.8,39,,1.0,5.4
5544,18/09/2014 03:00,1.3,39,3.3,1.8,4.4
5544,18/09/2014 09:00,2.0,39,,1.8,4.2
5544,18/09/2014 15:00,3.6,39,1.2,1.4,1.0
5544,18/09/2014 21:00,0.6,39,,0.9,0.2
5544,19/09/2014 03:00,0.8,39,1.5,1.3,1.2
5544,19/09/2014 09:00,0.6,39,,1.8,0.6
5544,19/09/2014 15:00,1.7,39,1.3,1.8,0.6
5544,19/09/2014 21:00,1.5,39,,1.0,1.7
5544,20/09/2014 03:00,1.9,39,1.1,1.7,2.2
5544,20/09/2014 09:00,3.1,39,,2.3,4.6
5544,20/09/2014 15:00,5.4,39,2.0,3.3,2.0
5544,20/09/2014 21:00,2.7,39,,3.7,1.2
5544,21/09/2014 03:00,3.6,39,1.9,1.6,1.7
5544,21/09/2014 09:00,1.2,39,,3.8,1.9
5544,21/09/2014 15:00,3.3,39,3.5,3.8,3.8
5544,21/09/2014 21:00,5.0,39,,8.0,7.6
5544,22/09/2014 03:00,5.6,39,6.0,9.6,8.1
5544,22/09/2014 09:00,9.7,39,,12.6,7.2
5544,22/09/2014 15:00,7.1,39,5.5,7.0,4.2
5544,22/09/2014 21:00,4.5,39,,9.1,7.1
5544,23/09/2014 03:00,7.3,39,3.3,8.8,7.3
5544,23/09/2014 09:00,1.7,39,,1.0,5.1
5544,23/09/2014 15:00,2.2,39,2.5,,2.1
5544,23/09/2014 21:00,3.6,39,,2.1,3.0
5544,24/09/2014 03:00,2.8,39,1.0,3.0,1.7
5544,24/09/2014 09:00,2.7,39,,2.1,2.2
5544,24/09/2014 15:00,3.1,39,1.4,2.3,5.1
5544,24/09/2014 21:00,3.9,39,,2.8,2.4
5544,25/09/2014 03:00,3.9,39,4.2,6.9,7.8
5544,25/09/2014 09:00,13.6,39,,11.4,9.9
5544,25/09/2014 15:00,8.5,39,4.3,8.6,10.6
5544,25/09/2014 21:00,6.8,39,,9.1,6.3
5544,26/09/2014 03:00,3.1,39,4.1,1.2,6.7
5544,26/09/2014 09:00,8.9,39,,2.7,6.6
5544,26/09/2014 15:00,12.7,39,8.1,5.4,7.7
5544,26/09/2014 21:00,4.5,39,,2.3,5.3
5544,27/09/2014 03:00,11.0,39,3.9,4.8,4.0
5544,27/09/2014 09:00,1.3,39,,12.7,7.2
5544,27/09/2014 15:00,3.9,39,6.8,10.2,7.5
5544,27/09/2014 21:00,2.8,39,,20.4,10.9
5544,28/09/2014 03:00,2.4,39,5.8,7.0,6.5
5544,28/09/2014 09:00,1.7,39,,3.6,2.6
5544,28/09/2014 15:00,2.4,39,0.6,1.2,4.8
5544,28/09/2014 21:00,5.1,39,,1.7,5.2
5544,29/09/2014 03:00,1.6,39,2.8,3.5,0.4
5544,29/09/2014 09:00,6.8,39,,6.9,6.2
5544,29/09/2014 15:00,8.6,39,9.0,10.8,10.1
5544,29/09/2014 21:00,12.9,39,,11.9,3.9
5544,30/09/2014 03:00,0.9,39,3.4,6.6,1.2
5544,30/09/2014 09:00,3.9,39,,8.2,6.2
5544,30/09/2014 15:00,8.7,39,11.2,11.3,11.3
5544,30/09/2014 21:00,7.7,39,,13.2,10.8
5544,01/10/2014 03:00,10.6,39,8.8,13.0,12.6
5544,01/10/2014 09:00,11.1,39,,15.2,14.0
5544,01/10/2014 15:00,11.0,39,13.1,13.7,13.0
5544,01/10/2014 21:00,13.0,39,,14.3,11.7
5544,02/10/2014 03:00,15.8,39,9.8,14.7,13.7
5544,02/10/2014 09:00,5.0,39,,5.9,7.4
5544,02/10/2014 15:00,5.4,39,10.7,13.3,11.7
5544,02/10/2014 21:00,3.9,39,,15.8,13.1
5544,03/10/2014 03:00,8.4,39,13.4,13.3,10.3
5544,03/10/2014 09:00,5.3,39,,13.1,12.3
5544,03/10/2014 15:00,6.5,39,8.4,6.8,5.2
5544,03/10/2014 21:00,1.4,39,,14.5,10.9
5544,04/10/2014 03:00,2.8,39,2.8,7.2,7.7
5544,04/10/2014 09:00,2.1,39,,8.0,8.4
5544,04/10/2014 15:00,7.4,39,1.9,8.3,5.3
5544,04/10/2014 21:00,8.4,39,,12.4,8.3
5544,05/10/2014 03:00,3.3,39,3.7,6.1,4.6
5544,05/10/2014 09:00,4.7,39,,4.1,3.5
5544,05/10/2014 15:00,2.7,39,2.1,2.7,2.7
5544,05/10/2014 21:00,1.5,39,,3.0,4.8
5544,06/10/2014 03:00,17.1,39,10.1,11.3,9.3
5544,06/10/2014 09:00,19.7,39,,15.3,12.8
5544,06/10/2014 15:00,20.4,39,11.7,16.7,13.5
5544,06/10/2014 21:00,20.7,39,,17.1,12.0
5544,07/10/2014 03:00,14.8,39,8.2,11.1,9.4
5544,07/10/2014 09:00,15.9,39,,14.9,11.4
5544,07/10/2014 15:00,10.0,39,7.2,10.8,9.0
5544,07/10/2014 21:00,9.9,39,,8.4,6.3
5544,08/10/2014 03:00,10.8,39,6.7,8.8,8.3
5544,08/10/2014 09:00,10.0,39,,8.5,8.1
5544,08/10/2014 15:00,5.8,39,5.8,6.7,7.1
5544,08/10/2014 21:00,7.0,39,,9.0,6.8
5544,09/10/2014 03:00,10.2,39,6.2,11.3,8.7
5544,09/10/2014 09:00,11.7,39,,13.6,8.9
5544,09/10/2014 15:00,10.0,39,6.4,13.4,9.2
5544,09/10/2014 21:00,8.6,39,,10.9,7.7
5544,10/10/2014 03:00,8.8,39,4.3,6.0,7.1
5544,10/10/2014 09:00,7.9,39,,2.9,5.9
5544,10/10/2014 15:00,3.4,39,2.2,1.1,4.5
5544,10/10/2014 21:00,3.2,39,,4.3,4.8
5544,11/10/2014 03:00,5.3,39,3.7,3.9,4.3
5544,11/10/2014 09:00,6.8,39,,4.5,4.7
5544,11/10/2014 15:00,10.8,39,4.2,7.3,3.3
5544,11/10/2014 21:00,4.5,39,,5.7,4.9
5544,12/10/2014 03:00,4.8,39,6.3,4.9,3.8
5544,12/10/2014 09:00,2.7,39,,4.0,3.7
5544,12/10/2014 15:00,2.1,39,4.4,2.0,1.9
5544,12/10/2014 21:00,0.6,39,,11.2,7.0
5544,13/10/2014 03:00,1.2,39,4.8,2.8,4.5
5544,13/10/2014 09:00,2.5,39,,2.2,2.7
5544,13/10/2014 15:00,1.5,39,1.1,1.3,0.7
5544,13/10/2014 21:00,2.0,39,,1.8,0.7
5544,14/10/2014 03:00,2.1,39,2.3,2.1,2.7
5544,14/10/2014 09:00,6.6,39,,1.3,2.3
5544,14/10/2014 15:00,2.4,39,0.7,0.4,1.2
5544,14/10/2014 21:00,3.3,39,,1.1,2.0
5544,15/10/2014 03:00,2.8,39,3.1,1.5,3.6
5544,15/10/2014 09:00,1.7,39,,1.8,4.4
5544,15/10/2014 15:00,2.8,39,3.5,3.3,3.5
5544,15/10/2014 21:00,1.3,39,,2.4,4.3
5544,16/10/2014 03:00,3.3,39,4.4,3.2,4.9
5544,16/10/2014 09:00,2.0,39,,5.8,6.3
5544,16/10/2014 15:00,4.0,39,4.2,6.3,6.2
5544,16/10/2014 21:00,6.3,39,,10.6,7.2
5544,17/10/2014 03:00,8.9,39,5.5,9.1,6.9
5544,17/10/2014 09:00,2.0,39,,8.4,7.3
5544,17/10/2014 15:00,6.2,39,5.3,7.9,6.6
5544,17/10/2014 21:00,6.0,39,,8.4,7.6
5544,18/10/2014 03:00,10.3,39,6.5,9.8,8.2
5544,18/10/2014 09:00,4.1,39,,10.6,10.0
5544,18/10/2014 15:00,11.6,39,8.0,11.3,9.6
5544,18/10/2014 21:00,11.5,39,,10.1,10.0
5544,19/10/2014 03:00,4.7,39,5.0,4.7,6.7
5544,19/10/2014 09:00,5.9,39,,4.4,3.1
5544,19/10/2014 15:00,1.7,39,1.3,2.3,1.5
5544,19/10/2014 21:00,2.8,39,,3.1,7.3
5544,20/10/2014 03:00,10.2,39,5.5,11.7,10.9
5544,20/10/2014 09:00,3.1,39,,5.7,2.2
5544,20/10/2014 15:00,9.9,39,2.2,8.3,6.3
5544,20/10/2014 21:00,18.3,39,,18.4,10.5
5544,21/10/2014 03:00,14.6,39,11.1,17.5,9.3
5544,21/10/2014 09:00,17.8,39,,12.7,9.0
5544,21/10/2014 15:00,12.9,39,2.8,9.7,7.5
5544,21/10/2014 21:00,5.2,39,,3.5,2.4
5544,22/10/2014 03:00,2.4,39,2.5,2.9,1.7
5544,22/10/2014 09:00,3.5,39,,7.1,4.6
5544,22/10/2014 15:00,4.1,39,5.4,2.3,5.7
5544,22/10/2014 21:00,2.2,39,,1.8,1.6
5544,23/10/2014 03:00,1.0,39,3.3,0.3,3.0
5544,23/10/2014 09:00,1.0,39,,2.7,4.2
